"Name","Area (ABD) (�m�)","Area (Filled) (�m�)","Aspect Ratio","Average Blue","Average Green","Average Red","Biovolume (Cylinder) (�m�)","Biovolume (P. Spheroid) (�m�)","Biovolume (Sphere) (�m�)","Calibration Factor","Calibration Image","Capture ID","Capture X (px)","Capture Y (px)","Ch1 Area","Ch1 Peak","Ch1 Width","Ch2 Area","Ch2 Peak","Ch2 Width","Ch2/Ch1 Ratio","Circle Fit","Circularity","Circularity (Hu)","Compactness","Convex Perimeter (�m)","Convexity","Date","Diameter (ABD) (�m)","Diameter (ESD) (�m)","Diameter (FD) (�m)","Edge Gradient","Elapsed Time (s)","Elongation","Feret Angle Max (�)","Feret Angle Min (�)","Fiber Curl","Fiber Straightness","Filter Score","Geodesic Aspect Ratio","Geodesic Length (�m)","Geodesic Thickness (�m)","Group ID","Image Height (px)","Image Width (px)","Intensity","Length (�m)","Particles Per Chain","Perimeter (�m)","Ratio Blue/Green","Ratio Red/Blue","Ratio Red/Green","Roughness","Sigma Intensity","Source Image","Sphere Complement (�m�)","Sphere Count","Sphere Unknown (�m�)","Sphere Volume (�m�)","Sqrt Circularity","Sum Intensity","Symmetry","Time","Timestamp","Transparency","UUID","Volume (ABD) (�m�)","Volume (ESD) (�m�)","Width (�m)"
"2024-10-30 P2328 Group 1 Rev 2 R01","1742.23","1742.23","0.99","0.00","0.00","0.00","68632.57","54366.78","54704.37","1.83","12.00","12.00","353.00","842.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.96","0.96","1.00","1.04","163.16","1.00","2024-10-30 11:31:51","47.10","48.08","47.10","189.49","3.66","1.00","-90.00","0.00","0.00","1.09","0.00","1.00","44.38","44.38","12","41.00","40.00","41.05","48.54","1.00","177.50","0.00","0.00","0.00","1.09","42.74","42557","0.00","0.00","0.00","0.00","0.98","29435.00","0.94","2024-10-30 11:31:51","2024-10-30 11:31:51","0.02","1A25DF4196D411EF937150EBF6EE7050","54704.37","58194.03","46.71"
"2024-10-30 P2328 Group 1 Rev 2 R01","3232.36","3232.36","0.96","0.00","0.00","0.00","158973.21","134917.93","138243.10","1.83","13.00","13.00","744.00","1440.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.95","0.94","1.00","1.07","216.91","1.00","2024-10-30 11:31:51","64.15","65.17","64.15","174.43","3.66","1.00","-85.00","0.00","0.00","1.14","0.00","1.00","58.71","58.71","13","50.00","49.00","35.15","66.85","1.00","234.86","0.00","0.00","0.00","1.08","38.10","42557","0.00","0.00","0.00","0.00","0.97","43132.00","0.95","2024-10-30 11:31:51","2024-10-30 11:31:51","0.02","1A25E14796D411EF937150EBF6EE7050","138243.10","144954.07","63.19"
"2024-10-30 P2328 Group 1 Rev 2 R01","2879.75","2879.75","0.98","0.00","0.00","0.00","136866.49","114865.03","116251.05","1.83","14.00","14.00","867.00","546.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.96","0.94","1.00","1.07","205.75","1.00","2024-10-30 11:31:51","60.55","61.66","60.55","194.72","3.73","1.00","10.00","-90.00","0.00","1.13","0.00","1.00","55.86","55.86","14","47.00","48.00","31.94","63.19","1.00","223.42","0.00","0.00","0.00","1.09","38.58","42558","0.00","0.00","0.00","0.00","0.97","35384.00","0.92","2024-10-30 11:31:51","2024-10-30 11:31:51","0.02","1A25E34C96D411EF937150EBF6EE7050","116251.05","122769.61","59.53"
"2024-10-30 P2328 Group 1 Rev 2 R01","2000.52","2000.52","0.97","0.00","0.00","0.00","87070.98","66213.41","67309.75","1.83","15.00","15.00","619.00","360.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.95","0.92","1.00","1.09","174.13","1.00","2024-10-30 11:31:51","50.47","51.54","50.47","255.00","3.91","1.00","-90.00","0.00","0.00","1.09","0.00","1.00","48.04","48.04","15","43.00","42.00","21.44","52.20","1.00","192.16","0.00","0.00","0.00","1.10","32.77","42559","0.00","0.00","0.00","0.00","0.96","17301.00","0.94","2024-10-30 11:31:51","2024-10-30 11:31:51","0.02","1A25E54D96D411EF937150EBF6EE7050","67309.75","71682.21","50.37"
"2024-10-30 P2328 Group 1 Rev 2 R01","5361.68","5361.68","0.83","0.00","0.00","0.00","380241.50","278359.40","295334.93","1.83","16.00","16.00","177.00","491.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.72","0.78","0.95","1.28","288.15","0.99","2024-10-30 11:31:51","82.62","87.87","82.62","219.77","3.91","1.16","55.00","0.00","0.00","1.15","0.00","0.86","86.86","74.66","16","65.00","58.00","29.10","99.82","1.00","323.03","0.00","0.00","0.00","1.12","41.30","42559","0.00","0.00","0.00","0.00","0.88","56252.00","0.72","2024-10-30 11:31:51","2024-10-30 11:31:51","0.06","1A25E75D96D411EF937150EBF6EE7050","295334.93","355189.43","79.67"
"2024-10-30 P2328 Group 1 Rev 2 R01","2328.13","2328.13","0.94","0.00","0.00","0.00","105666.04","82809.39","84503.59","1.83","17.00","17.00","555.00","150.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.88","0.74","0.99","1.35","192.93","0.99","2024-10-30 11:31:51","54.45","57.49","54.45","177.37","3.98","1.62","80.00","10.00","0.12","0.89","0.00","0.62","70.80","43.59","17","48.00","44.00","38.46","63.19","1.00","228.79","0.00","0.00","0.00","1.19","50.91","42560","0.00","0.00","0.00","0.00","0.86","35380.00","0.81","2024-10-30 11:31:51","2024-10-30 11:31:51","0.05","1A25E96796D411EF937150EBF6EE7050","84503.59","99498.92","52.20"
"2024-10-30 P2328 Group 1 Rev 2 R01","1865.31","1865.31","0.98","0.00","0.00","0.00","78843.79","59844.09","60602.61","1.83","18.00","18.00","658.00","856.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.96","0.93","1.00","1.08","168.56","1.00","2024-10-30 11:31:51","48.73","49.71","48.73","169.43","3.98","1.00","45.00","0.00","0.00","1.12","0.00","1.00","46.48","46.48","18","42.00","41.00","44.54","52.20","1.00","185.90","0.00","0.00","0.00","1.10","43.82","42560","0.00","0.00","0.00","0.00","0.96","33852.00","0.96","2024-10-30 11:31:51","2024-10-30 11:31:51","0.02","1A25ED8696D411EF937150EBF6EE7050","60602.61","64308.25","48.54"
"2024-10-30 P2328 Group 1 Rev 2 R01","1391.13","1391.13","0.97","0.00","0.00","0.00","53180.24","38410.47","39031.70","1.83","19.00","19.00","705.00","1368.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.95","0.94","1.00","1.06","147.83","1.00","2024-10-30 11:31:51","42.09","42.99","42.09","242.06","4.24","1.00","-50.00","0.00","0.00","1.10","0.00","1.00","40.76","40.76","19","38.00","37.00","28.91","44.87","1.00","163.03","0.00","0.00","0.00","1.10","34.14","42561","0.00","0.00","0.00","0.00","0.97","17142.00","0.95","2024-10-30 11:31:51","2024-10-30 11:31:51","0.02","1A25F03D96D411EF937150EBF6EE7050","39031.70","41605.73","41.21"
"2024-10-30 P2328 Group 1 Rev 2 R01","1954.42","1954.42","0.98","0.00","0.00","0.00","83597.07","64716.71","64996.42","1.83","20.00","20.00","442.00","87.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.91","0.93","1.00","1.08","173.48","1.00","2024-10-30 11:31:51","49.88","51.64","49.88","238.26","4.33","1.00","-30.00","0.00","0.00","1.14","0.00","1.00","47.39","47.39","20","42.00","42.00","31.76","54.03","1.00","189.57","0.00","0.00","0.00","1.09","38.94","42562","0.00","0.00","0.00","0.00","0.96","25119.00","0.82","2024-10-30 11:31:51","2024-10-30 11:31:51","0.03","1A25F24A96D411EF937150EBF6EE7050","64996.42","72107.62","50.37"
"2024-10-30 P2328 Group 1 Rev 2 R01","1719.40","1719.40","0.96","0.00","0.00","0.00","68632.57","52348.85","53632.66","1.83","21.00","21.00","896.00","535.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.94","0.95","1.00","1.05","162.62","1.00","2024-10-30 11:31:51","46.79","47.83","46.79","161.27","4.33","1.00","-80.00","-40.00","0.00","1.14","0.00","1.00","44.38","44.38","21","41.00","40.00","44.08","50.37","1.00","177.50","0.00","0.00","0.00","1.09","42.13","42562","0.00","0.00","0.00","0.00","0.97","31250.00","0.90","2024-10-30 11:31:51","2024-10-30 11:31:51","0.02","1A25F44596D411EF937150EBF6EE7050","53632.66","57275.20","44.87"
"2024-10-30 P2328 Group 1 Rev 2 R01","2110.31","2110.31","0.96","0.00","0.00","0.00","91520.22","71299.47","72926.12","1.83","22.00","22.00","514.00","1595.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.93","0.93","1.00","1.07","179.40","1.00","2024-10-30 11:31:51","51.84","53.37","51.84","200.90","4.33","1.00","30.00","-90.00","0.00","1.14","0.00","1.00","48.84","48.84","22","42.00","43.00","33.04","55.86","1.00","195.38","0.00","0.00","0.00","1.09","36.45","42562","0.00","0.00","0.00","0.00","0.97","27919.00","0.89","2024-10-30 11:31:51","2024-10-30 11:31:51","0.03","1A25F65696D411EF937150EBF6EE7050","72926.12","79599.34","50.37"
"2024-10-30 P2328 Group 1 Rev 2 R01","2723.52","2723.52","0.97","0.00","0.00","0.00","128345.82","105375.84","106919.88","1.83","23.00","23.00","798.00","485.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.95","0.93","1.00","1.08","200.84","1.00","2024-10-30 11:31:51","58.89","60.09","58.89","255.00","4.41","1.00","-65.00","25.00","0.00","1.16","0.00","1.00","54.67","54.67","23","47.00","47.00","19.11","63.19","1.00","218.69","0.00","0.00","0.00","1.09","29.99","42563","0.00","0.00","0.00","0.00","0.96","20159.00","0.91","2024-10-30 11:31:51","2024-10-30 11:31:51","0.02","1A25F87796D411EF937150EBF6EE7050","106919.88","113588.07","57.70"
"2024-10-30 P2328 Group 1 Rev 2 R01","2078.49","2078.49","0.96","0.00","0.00","0.00","87070.98","69651.96","71282.79","1.83","24.00","24.00","489.00","1224.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.95","0.95","1.00","1.05","176.85","1.00","2024-10-30 11:31:51","51.44","52.45","51.44","230.27","4.41","1.00","-85.00","0.00","0.00","1.12","0.00","1.00","48.04","48.04","24","43.00","42.00","30.82","54.03","1.00","192.16","0.00","0.00","0.00","1.09","35.30","42563","0.00","0.00","0.00","0.00","0.98","25706.00","0.94","2024-10-30 11:31:51","2024-10-30 11:31:51","0.02","1A25FA9996D411EF937150EBF6EE7050","71282.79","75571.67","50.37"
"2024-10-30 P2328 Group 1 Rev 2 R01","2444.87","2444.87","0.97","0.00","0.00","0.00","113396.06","89223.49","90938.23","1.83","25.00","25.00","650.00","568.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.94","0.92","1.00","1.09","191.55","1.00","2024-10-30 11:31:51","55.79","57.03","55.79","247.40","4.49","1.00","20.00","-65.00","0.00","1.17","0.00","1.00","52.46","52.46","25","45.00","46.00","26.23","61.36","1.00","209.84","0.00","0.00","0.00","1.10","36.25","42564","0.00","0.00","0.00","0.00","0.96","25178.00","0.94","2024-10-30 11:31:51","2024-10-30 11:31:51","0.02","1A25FC9B96D411EF937150EBF6EE7050","90938.23","97140.39","54.03"
"2024-10-30 P2328 Group 1 Rev 2 R01","1679.50","1679.50","0.84","0.00","0.00","0.00","76928.93","47625.24","51776.78","1.83","26.00","26.00","443.00","952.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.83","0.86","0.97","1.16","165.77","1.00","2024-10-30 11:31:51","46.24","49.10","46.24","254.74","4.49","1.00","-65.00","45.00","0.00","1.21","0.00","1.00","46.10","46.10","26","41.00","39.00","25.27","55.86","1.00","184.39","0.00","0.00","0.00","1.11","33.80","42564","0.00","0.00","0.00","0.00","0.93","17561.00","0.80","2024-10-30 11:31:51","2024-10-30 11:31:51","0.06","1A25FEB896D411EF937150EBF6EE7050","51776.78","61967.64","43.04"
"2024-10-30 P2328 Group 1 Rev 2 R01","2459.48","2459.48","0.89","0.00","0.00","0.00","109952.76","85893.46","91755.02","1.83","27.00","27.00","239.00","1725.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.90","0.94","0.99","1.06","191.93","1.00","2024-10-30 11:31:51","55.96","57.39","55.96","148.85","4.49","1.00","-90.00","0.00","0.00","1.18","0.00","1.00","51.92","51.92","27","48.00","43.00","41.90","61.36","1.00","207.70","0.00","0.00","0.00","1.08","38.94","42564","0.00","0.00","0.00","0.00","0.97","40438.00","0.95","2024-10-30 11:31:51","2024-10-30 11:31:51","0.02","1A2600C496D411EF937150EBF6EE7050","91755.02","98971.54","52.20"
"2024-10-30 P2328 Group 1 Rev 2 R01","2900.43","2900.43","0.82","0.00","0.00","0.00","150777.01","105553.32","117505.17","1.83","28.00","28.00","483.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.83","0.88","0.98","1.13","211.26","1.00","2024-10-30 11:31:51","60.77","63.34","60.77","252.97","4.58","1.00","-45.00","45.00","0.00","1.25","0.00","1.00","57.69","57.69","28","48.00","49.00","20.32","72.35","1.00","230.75","0.00","0.00","0.00","1.09","31.45","42565","0.00","0.00","0.00","0.00","0.94","22656.00","0.88","2024-10-30 11:31:51","2024-10-30 11:31:51","0.04","1A2602F096D411EF937150EBF6EE7050","117505.17","133073.35","55.86"
"2024-10-30 P2328 Group 1 Rev 2 R01","2179.86","2179.86","0.94","0.00","0.00","0.00","102880.66","74209.74","76560.60","1.83","29.00","29.00","383.00","379.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.92","0.89","1.00","1.13","181.98","1.00","2024-10-30 11:31:51","52.68","54.18","52.68","238.35","4.58","1.00","-40.00","45.00","0.00","1.14","0.00","1.00","50.79","50.79","29","43.00","44.00","25.65","57.70","1.00","203.15","0.00","0.00","0.00","1.12","38.50","42565","0.00","0.00","0.00","0.00","0.94","22286.00","0.85","2024-10-30 11:31:51","2024-10-30 11:31:51","0.03","1A26055096D411EF937150EBF6EE7050","76560.60","83297.48","50.37"
"2024-10-30 P2328 Group 1 Rev 2 R01","1676.66","1676.66","0.96","0.00","0.00","0.00","66382.05","50626.50","51645.18","1.83","30.00","30.00","541.00","1099.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.94","0.95","1.00","1.05","160.82","1.00","2024-10-30 11:31:51","46.20","47.52","46.20","249.16","4.58","1.00","-65.00","0.00","0.00","1.15","0.00","1.00","43.89","43.89","30","40.00","39.00","28.22","50.37","1.00","175.54","0.00","0.00","0.00","1.09","35.44","42565","0.00","0.00","0.00","0.00","0.97","19588.00","0.90","2024-10-30 11:31:51","2024-10-30 11:31:51","0.03","1A26079296D411EF937150EBF6EE7050","51645.18","56185.42","44.87"
"2024-10-30 P2328 Group 1 Rev 2 R01","1693.74","1693.74","0.97","0.00","0.00","0.00","69364.20","51404.08","52436.71","1.83","31.00","31.00","563.00","1152.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.95","0.93","1.00","1.08","161.46","1.00","2024-10-30 11:31:51","46.44","47.52","46.44","160.42","4.58","1.00","5.00","0.00","0.00","1.09","0.00","1.00","44.53","44.53","31","40.00","40.00","45.59","48.54","1.00","178.13","0.00","0.00","0.00","1.10","43.11","42565","0.00","0.00","0.00","0.00","0.96","31911.00","0.94","2024-10-30 11:31:51","2024-10-30 11:31:51","0.02","1A260A1196D411EF937150EBF6EE7050","52436.71","56185.42","46.71"
"2024-10-30 P2328 Group 1 Rev 2 R01","3107.64","3107.64","0.94","0.00","0.00","0.00","159877.40","126183.81","130319.74","1.83","32.00","32.00","683.00","99.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.93","0.90","1.00","1.11","215.30","1.00","2024-10-30 11:31:51","62.90","64.72","62.90","250.05","4.66","1.00","-20.00","35.00","0.00","1.20","0.00","1.00","58.83","58.83","32","49.00","51.00","22.73","70.52","1.00","235.30","0.00","0.00","0.00","1.09","33.39","42566","0.00","0.00","0.00","0.00","0.95","26936.00","0.93","2024-10-30 11:31:51","2024-10-30 11:31:51","0.03","1A260C7696D411EF937150EBF6EE7050","130319.74","141920.25","61.36"
"2024-10-30 P2328 Group 1 Rev 2 R01","1702.29","1702.29","0.98","0.00","0.00","0.00","68118.35","52351.97","52834.21","1.83","33.00","33.00","543.00","978.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.96","0.95","1.00","1.06","161.42","1.00","2024-10-30 11:31:51","46.56","47.62","46.56","249.49","4.66","1.00","-80.00","0.00","0.00","1.10","0.00","1.00","44.26","44.26","33","40.00","40.00","28.38","48.54","1.00","177.06","0.00","0.00","0.00","1.10","35.56","42566","0.00","0.00","0.00","0.00","0.97","19948.00","0.91","2024-10-30 11:31:51","2024-10-30 11:31:51","0.02","1A260EC196D411EF937150EBF6EE7050","52834.21","56547.13","46.71"
"2024-10-30 P2328 Group 1 Rev 2 R01","1945.78","1945.78","0.97","0.00","0.00","0.00","80216.81","63427.45","64566.10","1.83","34.00","34.00","544.00","1455.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.96","0.95","1.00","1.05","171.55","1.00","2024-10-30 11:31:51","49.77","50.67","49.77","242.50","4.66","1.00","-85.00","0.00","0.00","1.12","0.00","1.00","46.74","46.74","34","42.00","41.00","26.13","52.20","1.00","186.98","0.00","0.00","0.00","1.09","33.76","42566","0.00","0.00","0.00","0.00","0.97","20590.00","0.94","2024-10-30 11:31:51","2024-10-30 11:31:51","0.02","1A26112596D411EF937150EBF6EE7050","64566.10","68133.55","48.54"
"2024-10-30 P2328 Group 1 Rev 2 R01","2915.20","2915.20","0.93","0.00","0.00","0.00","146609.56","113964.29","118404.04","1.83","35.00","35.00","331.00","1696.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.92","0.90","1.00","1.11","208.71","1.00","2024-10-30 11:31:51","60.92","62.63","60.92","180.13","4.66","1.00","-90.00","0.00","0.00","1.17","0.00","1.00","57.15","57.15","35","51.00","46.00","35.84","66.85","1.00","228.60","0.00","0.00","0.00","1.10","38.61","42566","0.00","0.00","0.00","0.00","0.95","40137.00","0.90","2024-10-30 11:31:51","2024-10-30 11:31:51","0.03","1A2614C096D411EF937150EBF6EE7050","118404.04","128634.42","57.70"
