"Name","Area (ABD) (�m�)","Area (Filled) (�m�)","Aspect Ratio","Average Blue","Average Green","Average Red","Biovolume (Cylinder) (�m�)","Biovolume (P. Spheroid) (�m�)","Biovolume (Sphere) (�m�)","Calibration Factor","Calibration Image","Capture ID","Capture X (px)","Capture Y (px)","Ch1 Area","Ch1 Peak","Ch1 Width","Ch2 Area","Ch2 Peak","Ch2 Width","Ch2/Ch1 Ratio","Circle Fit","Circularity","Circularity (Hu)","Compactness","Convex Perimeter (�m)","Convexity","Date","Diameter (ABD) (�m)","Diameter (ESD) (�m)","Diameter (FD) (�m)","Edge Gradient","Elapsed Time (s)","Elongation","Feret Angle Max (�)","Feret Angle Min (�)","Fiber Curl","Fiber Straightness","Filter Score","Geodesic Aspect Ratio","Geodesic Length (�m)","Geodesic Thickness (�m)","Group ID","Image Height (px)","Image Width (px)","Intensity","Length (�m)","Particles Per Chain","Perimeter (�m)","Ratio Blue/Green","Ratio Red/Blue","Ratio Red/Green","Roughness","Sigma Intensity","Source Image","Sphere Complement (�m�)","Sphere Count","Sphere Unknown (�m�)","Sphere Volume (�m�)","Sqrt Circularity","Sum Intensity","Symmetry","Time","Timestamp","Transparency","UUID","Volume (ABD) (�m�)","Volume (ESD) (�m�)","Width (�m)"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","9415.30","9415.30","0.93","0.00","0.00","0.00","832237.19","670330.89","687250.15","1.83","11.00","11.00","427.00","1486.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.86","0.78","0.99","1.28","373.60","0.98","2024-10-30 09:55:48","109.49","115.14","109.49","170.39","2.91","1.15","-55.00","20.00","0.00","1.12","0.00","0.87","111.84","97.34","11","77.00","75.00","26.07","125.46","1.00","418.35","0.00","0.00","0.00","1.12","35.59","45655","0.00","0.00","0.00","0.00","0.88","84603.00","0.87","2024-10-30 09:55:48","2024-10-30 09:55:48","0.05","AF37894396C611EF937150EBF6EE7050","687250.15","799165.43","105.32"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1041.79","1041.79","0.79","0.00","0.00","0.00","45932.65","21987.88","25294.92","1.83","12.00","12.00","320.00","1855.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.81","0.82","0.97","1.22","134.49","1.00","2024-10-30 09:55:48","36.42","38.97","36.42","125.76","2.91","1.00","85.00","0.00","0.00","1.20","0.00","1.00","38.82","38.82","12","39.00","32.00","90.49","46.71","1.00","155.26","0.00","0.00","0.00","1.15","40.52","45655","0.00","0.00","0.00","0.00","0.90","42258.00","0.80","2024-10-30 09:55:48","2024-10-30 09:55:48","0.07","AF378B9296C611EF937150EBF6EE7050","25294.92","30993.41","32.05"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","2735.29","2735.29","0.96","0.00","0.00","0.00","153771.01","105432.77","107613.90","1.83","13.00","13.00","773.00","838.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.89","0.83","1.00","1.21","206.18","1.00","2024-10-30 09:55:48","59.01","62.07","59.01","222.96","3.16","1.00","-75.00","65.00","0.00","1.15","0.00","1.00","58.07","58.07","13","48.00","48.00","26.65","66.85","1.00","232.27","0.00","0.00","0.00","1.13","40.33","45656","0.00","0.00","0.00","0.00","0.91","28223.00","0.85","2024-10-30 09:55:48","2024-10-30 09:55:48","0.05","AF378DB396C611EF937150EBF6EE7050","107613.90","125216.78","57.70"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","3626.06","3626.06","0.99","0.00","0.00","0.00","194122.23","163028.03","164254.11","1.83","14.00","14.00","784.00","56.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.94","0.91","1.00","1.10","230.30","1.00","2024-10-30 09:55:48","67.95","69.35","67.95","248.27","3.25","1.00","-80.00","45.00","0.00","1.12","0.00","1.00","62.76","62.76","14","52.00","52.00","17.62","70.52","1.00","251.03","0.00","0.00","0.00","1.09","28.77","45657","0.00","0.00","0.00","0.00","0.95","23946.00","0.91","2024-10-30 09:55:48","2024-10-30 09:55:48","0.02","AF378FD596C611EF937150EBF6EE7050","164254.11","174610.59","66.85"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1523.48","1523.48","0.99","0.00","0.00","0.00","62312.39","44453.60","44732.00","1.83","15.00","15.00","400.00","85.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.94","0.91","1.00","1.09","155.08","1.00","2024-10-30 09:55:48","44.04","45.59","44.04","249.60","3.25","1.00","5.00","0.00","0.00","1.09","0.00","1.00","42.97","42.97","15","39.00","39.00","50.70","46.71","1.00","171.88","0.00","0.00","0.00","1.11","54.08","45657","0.00","0.00","0.00","0.00","0.96","32451.00","0.90","2024-10-30 09:55:48","2024-10-30 09:55:48","0.03","AF3791D896C611EF937150EBF6EE7050","44732.00","49602.90","44.87"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1343.51","1455.78","0.95","0.00","0.00","0.00","60676.63","40795.49","37044.68","1.83","16.00","16.00","278.00","192.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.91","0.89","1.00","1.12","153.36","1.00","2024-10-30 09:55:48","41.36","45.13","43.05","229.94","3.25","1.00","65.00","0.00","0.00","1.14","0.00","1.00","42.59","42.59","16","40.00","37.00","89.30","48.54","1.00","170.36","0.00","0.00","0.00","1.11","45.45","45657","0.00","0.00","0.00","0.00","0.95","51438.00","0.85","2024-10-30 09:55:48","2024-10-30 09:55:48","0.08","AF3793EA96C611EF937150EBF6EE7050","37044.68","48123.13","41.21"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","3650.00","3650.00","0.99","0.00","0.00","0.00","189186.44","165339.62","165883.38","1.83","17.00","17.00","481.00","758.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.97","0.93","1.00","1.07","229.61","1.00","2024-10-30 09:55:48","68.17","69.14","68.17","171.95","3.33","1.00","10.00","0.00","0.00","1.13","0.00","1.00","62.22","62.22","17","52.00","52.00","34.56","70.52","1.00","248.88","0.00","0.00","0.00","1.08","38.30","45658","0.00","0.00","0.00","0.00","0.96","47250.00","0.96","2024-10-30 09:55:48","2024-10-30 09:55:48","0.01","AF3795F396C611EF937150EBF6EE7050","165883.38","173077.81","68.69"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","3623.07","3623.07","0.99","0.00","0.00","0.00","195155.08","163242.27","164050.87","1.83","18.00","18.00","263.00","1260.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.96","0.91","1.00","1.10","229.87","1.00","2024-10-30 09:55:48","67.92","69.55","67.92","235.49","3.33","1.00","-90.00","45.00","0.00","1.12","0.00","1.00","62.87","62.87","18","53.00","52.00","46.81","70.52","1.00","251.47","0.00","0.00","0.00","1.09","32.60","45658","0.00","0.00","0.00","0.00","0.95","63565.00","0.93","2024-10-30 09:55:48","2024-10-30 09:55:48","0.02","AF3797F296C611EF937150EBF6EE7050","164050.87","176152.40","66.85"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","868.17","868.17","0.57","0.00","0.00","0.00","23236.92","14494.47","19242.78","1.83","19.00","19.00","526.00","1882.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.59","0.61","0.82","1.65","136.56","0.92","2024-10-30 09:55:48","33.25","39.53","33.25","126.95","3.33","2.82","85.00","-5.00","0.32","0.76","0.00","0.35","61.78","21.88","19","38.00","30.00","101.79","46.71","1.00","167.33","0.00","0.00","0.00","1.23","36.33","45658","0.00","0.00","0.00","0.00","0.78","41022.00","0.61","2024-10-30 09:55:48","2024-10-30 09:55:48","0.16","AF3799F596C611EF937150EBF6EE7050","19242.78","32347.90","26.56"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","9689.99","9689.99","0.46","0.00","0.00","0.00","553441.95","505163.55","717544.02","1.83","20.00","20.00","491.00","253.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.24","0.61","0.72","1.65","419.09","0.92","2024-10-30 09:55:48","111.08","129.48","111.08","211.93","3.41","2.82","-90.00","-10.00","0.09","0.91","0.00","0.36","177.42","63.02","20","103.00","63.00","22.15","162.10","1.00","480.89","0.00","0.00","0.00","1.15","37.75","45659","0.00","0.00","0.00","0.00","0.78","73818.00","0.53","2024-10-30 09:55:48","2024-10-30 09:55:48","0.14","AF379C1E96C611EF937150EBF6EE7050","717544.02","1136701.37","85.17"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1447.33","1447.33","0.98","0.00","0.00","0.00","56846.08","41120.05","41420.60","1.83","21.00","21.00","567.00","578.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.95","0.93","1.00","1.08","150.47","1.00","2024-10-30 09:55:48","42.93","43.91","42.93","158.03","3.41","1.00","-60.00","-25.00","0.00","1.12","0.00","1.00","41.67","41.67","21","38.00","38.00","62.99","46.71","1.00","166.70","0.00","0.00","0.00","1.11","35.37","45659","0.00","0.00","0.00","0.00","0.96","38611.00","0.94","2024-10-30 09:55:48","2024-10-30 09:55:48","0.02","AF379E2296C611EF937150EBF6EE7050","41420.60","44321.60","41.21"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","2014.94","2014.94","0.93","0.00","0.00","0.00","87928.15","65613.01","68038.96","1.83","22.00","22.00","502.00","591.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.90","0.92","0.99","1.09","176.89","1.00","2024-10-30 09:55:48","50.65","52.51","50.65","158.37","3.41","1.00","-35.00","-90.00","0.00","1.20","0.00","1.00","48.20","48.20","22","41.00","43.00","45.64","57.70","1.00","192.78","0.00","0.00","0.00","1.09","43.85","45659","0.00","0.00","0.00","0.00","0.96","37058.00","0.83","2024-10-30 09:55:48","2024-10-30 09:55:48","0.04","AF37A02696C611EF937150EBF6EE7050","68038.96","75791.78","48.54"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","2944.76","2944.76","0.94","0.00","0.00","0.00","168786.00","116775.88","120209.44","1.83","23.00","23.00","226.00","640.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.89","0.83","1.00","1.21","211.80","1.00","2024-10-30 09:55:48","61.23","63.65","61.23","218.91","3.41","1.00","-65.00","25.00","0.00","1.12","0.00","1.00","59.90","59.90","23","49.00","50.00","30.18","66.85","1.00","239.59","0.00","0.00","0.00","1.13","40.99","45659","0.00","0.00","0.00","0.00","0.91","34101.00","0.84","2024-10-30 09:55:48","2024-10-30 09:55:48","0.04","AF37A22B96C611EF937150EBF6EE7050","120209.44","135006.59","59.53"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","3590.17","3590.17","0.98","0.00","0.00","0.00","225745.33","160992.59","161821.36","1.83","24.00","24.00","558.00","679.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.93","0.81","1.00","1.23","232.92","1.00","2024-10-30 09:55:48","67.61","70.47","67.61","230.59","3.50","1.00","-70.00","0.00","0.00","1.10","0.00","1.00","65.99","65.99","24","52.00","52.00","24.79","72.35","1.00","263.98","0.00","0.00","0.00","1.13","37.23","45660","0.00","0.00","0.00","0.00","0.90","33395.00","0.88","2024-10-30 09:55:48","2024-10-30 09:55:48","0.04","AF37A53996C611EF937150EBF6EE7050","161821.36","183202.90","68.69"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","2020.71","2020.71","0.92","0.00","0.00","0.00","94304.87","65129.77","68331.48","1.83","25.00","25.00","342.00","1846.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.91","0.88","0.99","1.13","177.37","1.00","2024-10-30 09:55:48","50.72","52.86","50.72","176.92","3.50","1.00","-85.00","-20.00","0.00","1.13","0.00","1.00","49.33","49.33","25","44.00","42.00","56.78","55.86","1.00","197.34","0.00","0.00","0.00","1.11","35.00","45660","0.00","0.00","0.00","0.00","0.94","46220.00","0.85","2024-10-30 09:55:48","2024-10-30 09:55:48","0.04","AF37A73996C611EF937150EBF6EE7050","68331.48","77344.54","48.54"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1091.14","1091.14","0.99","0.00","0.00","0.00","44054.39","27002.70","27113.28","1.83","26.00","26.00","512.00","1363.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.90","0.87","1.00","1.15","135.55","1.00","2024-10-30 09:55:48","37.27","39.28","37.27","215.01","3.66","1.00","5.00","-90.00","0.00","1.12","0.00","1.00","38.28","38.28","26","35.00","37.00","62.30","43.04","1.00","153.12","0.00","0.00","0.00","1.13","48.09","45661","0.00","0.00","0.00","0.00","0.93","30215.00","0.87","2024-10-30 09:55:48","2024-10-30 09:55:48","0.05","AF37A93B96C611EF937150EBF6EE7050","27113.28","31727.43","37.55"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1321.15","1321.15","0.86","0.00","0.00","0.00","58412.56","33820.22","36123.62","1.83","27.00","27.00","242.00","1606.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.84","0.85","0.97","1.18","149.85","1.00","2024-10-30 09:55:48","41.01","43.81","41.01","192.70","3.66","1.00","-90.00","0.00","0.00","1.15","0.00","1.00","42.05","42.05","27","41.00","36.00","89.00","48.54","1.00","168.22","0.00","0.00","0.00","1.12","62.98","45661","0.00","0.00","0.00","0.00","0.92","50551.00","0.80","2024-10-30 09:55:48","2024-10-30 09:55:48","0.06","AF37AB4196C611EF937150EBF6EE7050","36123.62","44014.17","39.38"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1685.20","1685.20","0.92","0.00","0.00","0.00","66887.51","49597.57","52040.37","1.83","28.00","28.00","706.00","1848.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.92","0.95","1.00","1.05","161.29","1.00","2024-10-30 09:55:48","46.32","47.72","46.32","203.45","3.66","1.00","-75.00","0.00","0.00","1.19","0.00","1.00","44.00","44.00","28","41.00","39.00","61.93","52.20","1.00","175.99","0.00","0.00","0.00","1.09","43.46","45661","0.00","0.00","0.00","0.00","0.97","43163.00","0.91","2024-10-30 09:55:48","2024-10-30 09:55:48","0.03","AF37AD4896C611EF937150EBF6EE7050","52040.37","56910.39","44.87"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1679.50","1679.50","0.96","0.00","0.00","0.00","74274.20","50731.34","51776.78","1.83","29.00","29.00","776.00","360.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.92","0.88","1.00","1.13","162.75","1.00","2024-10-30 09:55:48","46.24","47.98","46.24","249.51","3.83","1.00","-70.00","45.00","0.00","1.11","0.00","1.00","45.56","45.56","29","40.00","40.00","23.55","50.37","1.00","182.24","0.00","0.00","0.00","1.12","35.32","45662","0.00","0.00","0.00","0.00","0.94","16366.00","0.88","2024-10-30 09:55:48","2024-10-30 09:55:48","0.04","AF37AF3E96C611EF937150EBF6EE7050","51776.78","57825.33","44.87"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","10111.90","10111.90","0.99","0.00","0.00","0.00","835025.10","764016.01","764915.09","1.83","30.00","30.00","837.00","274.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.92","0.88","1.00","1.14","376.89","1.00","2024-10-30 09:55:48","113.47","116.20","113.47","236.49","3.91","1.00","-70.00","-90.00","0.00","1.19","0.00","1.00","102.06","102.06","30","76.00","77.00","44.34","121.80","1.00","408.25","0.00","0.00","0.00","1.08","40.69","45663","0.00","0.00","0.00","0.00","0.94","153785.00","0.89","2024-10-30 09:55:48","2024-10-30 09:55:48","0.02","AF37B13896C611EF937150EBF6EE7050","764915.09","821620.61","112.64"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1813.71","1813.71","0.93","0.00","0.00","0.00","73968.88","56843.27","58105.52","1.83","31.00","31.00","467.00","386.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.83","0.73","0.99","1.37","177.61","0.98","2024-10-30 09:55:48","48.06","52.91","48.06","163.32","4.00","1.74","70.00","-45.00","0.04","0.96","0.00","0.58","65.79","37.84","31","45.00","41.00","65.99","63.19","1.00","207.25","0.00","0.00","0.00","1.17","34.36","45664","0.00","0.00","0.00","0.00","0.85","48967.00","0.75","2024-10-30 09:55:48","2024-10-30 09:55:48","0.09","AF37B34296C611EF937150EBF6EE7050","58105.52","77568.08","46.71"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","2395.21","2395.21","0.92","0.00","0.00","0.00","109248.46","84286.57","88181.79","1.83","32.00","32.00","576.00","1734.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.92","0.93","1.00","1.08","190.29","1.00","2024-10-30 09:55:48","55.22","56.63","55.22","164.16","4.00","1.00","-85.00","10.00","0.00","1.15","0.00","1.00","51.81","51.81","32","46.00","44.00","60.35","59.53","1.00","207.25","0.00","0.00","0.00","1.09","33.88","45664","0.00","0.00","0.00","0.00","0.96","56914.00","0.94","2024-10-30 09:55:48","2024-10-30 09:55:48","0.02","AF37B54396C611EF937150EBF6EE7050","88181.79","95075.48","52.20"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","2249.55","2249.55","0.90","0.00","0.00","0.00","110648.90","76500.18","80261.58","1.83","33.00","33.00","231.00","1804.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.83","0.77","0.99","1.30","189.51","0.99","2024-10-30 09:55:48","53.52","56.63","53.52","111.40","4.00","1.35","-80.00","-30.00","0.04","0.96","0.00","0.74","63.70","47.03","33","47.00","44.00","105.38","61.36","1.00","221.46","0.00","0.00","0.00","1.17","63.45","45664","0.00","0.00","0.00","0.00","0.88","94104.00","0.74","2024-10-30 09:55:48","2024-10-30 09:55:48","0.05","AF37B74096C611EF937150EBF6EE7050","80261.58","95075.48","52.20"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","1110.38","1110.38","0.88","0.00","0.00","0.00","44054.39","26328.52","27833.79","1.83","34.00","34.00","702.00","508.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.85","0.88","0.98","1.13","137.06","1.00","2024-10-30 09:55:48","37.60","39.74","37.60","221.07","4.08","1.00","-50.00","35.00","0.00","1.17","0.00","1.00","38.28","38.28","34","35.00","37.00","58.35","44.87","1.00","153.12","0.00","0.00","0.00","1.12","47.21","45665","0.00","0.00","0.00","0.00","0.94","28710.00","0.81","2024-10-30 09:55:48","2024-10-30 09:55:48","0.05","AF37B93B96C611EF937150EBF6EE7050","27833.79","32850.06","35.72"
"2024-10-30 P2002 Group 5 Rev 2 R01 PP1","758.68","758.68","0.91","0.00","0.00","0.00","24892.89","14810.42","15719.90","1.83","35.00","35.00","229.00","1861.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.92","0.95","0.99","1.05","114.03","1.00","2024-10-30 09:55:48","31.08","32.36","31.08","211.67","4.08","1.00","-80.00","0.00","0.00","1.13","0.00","1.00","31.65","31.65","35","33.00","30.00","81.05","35.72","1.00","126.59","0.00","0.00","0.00","1.11","42.34","45665","0.00","0.00","0.00","0.00","0.98","29340.00","0.92","2024-10-30 09:55:48","2024-10-30 09:55:48","0.04","AF37BB3D96C611EF937150EBF6EE7050","15719.90","17740.03","28.39"
